_total_solve_time = 46.99
cost = 273738

x [*,*]
:         F10         F104         F106        F123         F125        F127 :=
C1     0           0             0          0            0.00948712   0.0667978
C10    0           0             0          0            0            0
C100   0           0.000254847   0          0            0            0
C101   0           0             0          0            0            0
C102   0.220244    0             0          0            0            0
C103   0           0             0          0            0            0
C104   0           0             0          0            0            0
C105   0           0             0.249394   0            0            0
C106   0           0             0          0            0            0
C107   0           0             0          0            0            0
C108   0           0             0          0            0            0
C109   0           0             0          0            0            0
C11    0           0             0          0            0            0.0667978
C110   0.220244    0             0          0            0            0.0667978
C111   0           0             0          0            0            0
C112   0           0             0          0            0            0
C113   0           0             0          0            0            0
C114   0           0             0          0.101256     0            0
C115   0           0             0          0            0            0
C116   0           0             0          0            0            0
C117   0.220244    0             0          0            0            0
C118   0           0             0.249394   0.101256     0            0
C119   0           0             0          0            0            0
C12    0           0             0          0            0            0
C120   0.220244    0             0          0            0            0
C121   0           0             0          0            0            0
C122   0.0383495   0             0          0.101256     0            0
C123   0.220244    0             0          0            0            0
C124   0.220244    0             0          0            0            0
C125   0           0             0          0            0            0
C126   0           0             0          0            0            0.0667978
C127   0.220244    0             0          0            0.00948712   0.0667978
C128   0           0.000254847   0          0            0            0
C129   0           0             0          0            0            0
C13    0           0             0          0            0            0
C130   0           0             0          0            0            0
C131   0           0             0          0.101256     0            0
C132   0           0             0          0            0            0
C133   0           0             0          0            0            0
C134   0           0             0          0            0            0
C135   0           0             0          0            0            0
C136   0           0.000254847   0          0.101256     0            0
C137   0           0             0          0            0            0
C138   0           0             0.249394   0            0            0
C139   0           0             0          0            0            0
C14    0           0             0.249394   0            0            0
C140   0           0             0          0            0            0
C141   0           0             0          0            0            0
C142   0           0             0.244211   0            0            0
C143   0.220244    0.000254847   0          0            0            0
C144   0           0             0          0            0.00948712   0
C145   0           0             0          0            0            0
C146   0           0             0          0.101256     0            0
C147   0           0.000254847   0          0            0            0
C148   0           0             0          0            0            0.0667978
C149   0           0             0          0            0            0
C15    0           0             0          0            0            0
C150   0           0             0.249394   0            0            0
C151   0           0             0          0            0            0
C152   0           0             0          0            0.00948712   0
C153   0           0             0          0            0            0
C154   0           0             0          0            0            0
C155   0           0             0          0            0.00948712   0
C156   0           0             0          0            0            0
C157   0           0             0          0            0            0
C158   0           0             0          0            0            0.0667978
C159   0           0             0          0            0.00948712   0
C16    0           0             0          0            0            0
